PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 80 uM_first_point,% Activity at 40 uM_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,Excluded_Points_second_point,% Activity at 80 uM_second_point,% Activity at 40 uM_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
520,14740484,2909815,CC1=CC=C(C=C1)S(=O)(=O)N(CC(CN2C3=CC=CC=C3N=N2)O)C4=C(C=CC(=C4)[N+](=O)[O-])OC,Active,56,,,=,8.07,1.02,0.862,"0,0,0,0,0,0,0,0,0,0",90.4933,83.642,72.5372,59.8191,28.4471,33.263,5.22346,18.142,0.730932,-2.9771,"0,0,0,0,0,0,0,0,0,0",89.3113,79.3413,68.1064,47.2514,43.9547,15.9078,28.0936,12.4659,13.5304,19.4183
521,14727639,1051569,CC1=C(C2=NC(=CC(=O)N2N1)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active,56,,,=,6.29,0.533,0.825,"0,0,0,0,0,0,0,0,0,0",95.0698,84.7583,71.8571,53.8545,36.9776,28.1953,30.5861,10.7195,5.16994,7.25858,"0,0,0,0,0,0,0,0,0,0",89.562,82.5923,69.3443,63.7098,50.1453,35.2853,11.2315,21.0793,10.2897,3.48081
522,17406656,990304,CC1=CC=C(C=C1)NC(=O)NNC(=O)CN2C(=O)C(=C(C(=N2)C3=CC=CC=C3)C4=CC=CC=C4)C#N,Active,57,,,=,4.64,0.438,0.876,"0,0,0,0,0,0,0,0,0,0",88.848,83.418,79.7702,69.2879,47.6313,30.3345,21.5306,-0.72104,13.2743,-3.69946,"0,0,0,0,0,0,0,0,0,0",89.6425,85.2091,79.4774,69.1015,55.7321,39.8996,32.7875,13.6726,17.1847,10.7263
523,17409146,1717228,CN1C(=O)/C(=C\C2=C(C=CC(=C2)N=NC3=CC=CC=C3)O)/SC1=S,Inactive,41,,,=,24.4,5.99,0.513,"0,0,0,0,0,0,0,0,0,0",57.5361,49.4752,52.3177,44.8138,43.1408,15.179,16.5593,1.60905,7.49307,16.2233,"0,0,0,0,0,0,0,0,0,0",57.0474,45.568,56.6722,55.1622,38.1046,28.45,8.11176,11.0917,-2.61507,-3.93187
524,17385625,3915069,C1CC2(C3=CC=CC=C31)C(=O)N(C(=O)N2)CC(=O)NC4=CC(=CC(=C4)Cl)Cl,Active,56,,,=,9.76,1.2,0.919,"0,0,0,0,0,0,0,0,0,0",92.2223,84.79,64.6492,46.8712,32.7678,23.5659,15.4206,18.3598,-2.44033,11.2789,"0,0,0,0,0,0,0,0,0,0",94.4831,82.8668,67.6257,36.2662,31.9942,27.9625,12.7465,1.7415,14.0943,21.4848
525,16953197,9675351,C/C(=N\NS(=O)(=O)C1=CC(=C(C=C1)Cl)[N+](=O)[O-])/C2=CC3=CC=CC=C3O2,Active,54,,,=,15.6,0.693,0.838,"0,0,0,0,0,0,0,0,0,0",81.5489,71.2131,51.9382,41.2977,25.3928,21.0063,11.3368,7.85054,2.04617,2.81464,"0,0,0,0,0,0,0,0,0,0",82.7557,69.1806,54.0903,37.7198,26.6982,18.3274,13.6062,3.90644,7.68917,8.08662
526,17410323,2744454,C1=CC=C(C=C1)C2=NC(=CS2)C(=O)NC3=CC=C(C=C3)Cl,Active,52,,,=,13.5,2.34,0.629,"0,0,0,0,0,0,0,0,0,0",61.5007,75.3834,58.6659,56.7818,24.6747,16.5373,22.3364,5.57548,19.3941,1.62892,"0,0,0,0,0,0,0,0,0,0",60.3284,68.3615,66.6222,45.5212,42.927,29.6094,9.92545,5.34456,5.50613,8.48575
527,17433400,1309979,CC(C)(C)C1=CC=C(C=C1)C(=O)NCC(=O)OCC2=CC=C(C=C2)[N+](=O)[O-],Active,54,,,=,1.69,0.28,0.552,"0,0,0,0,0,0,0,0,0,0",73.9149,76.1866,80.038,81.1679,67.3893,55.8308,42.9826,36.5643,23.7361,7.15578,"0,0,0,0,0,0,0,0,0,0",74.7428,82.4815,82.101,81.1045,67.7444,63.2277,44.0904,47.1745,22.3018,23.2251
528,17433978,2178528,C1=CC(=CC(=C1)[N+](=O)[O-])/C=C/C(=O)NCCSCC2=C(C=CC=C2Cl)Cl,Active,57,,,=,3.92,0.163,0.846,"0,0,0,0,0,0,0,0,0,0",91.6109,86.3029,78.5521,67.9259,55.5518,41.2714,30.3431,15.1815,3.93454,1.79079,"0,0,0,0,0,0,0,0,0,0",91.3783,86.7749,78.0389,71.8223,54.2101,45.157,25.8432,18.397,11.4839,7.1061
529,17505616,2829636,CC(CNC1=C(C=C(C=C1)[N+](=O)[O-])Cl)NC(=O)C2=CC(=C(C=C2OC)N(C)C)[N+](=O)[O-],Active,57,,,=,5.79,0.295,0.981,"1,1,0,0,0,0,0,0,0,0",,,74.3841,63.3673,50.6052,33.6387,17.441,12.2033,8.39582,3.30052,"1,1,0,0,0,0,0,0,0,0",,,76.2101,60.5116,48.8044,28.5038,17.4566,4.98897,-2.27628,3.48408
530,17504881,4673185,C1=CC(=CC=C1SC2=CC(=C(C3=NON=C23)[N+](=O)[O-])NCCCO)Cl,Active,51,,,=,6.69,1.05,0.533,"0,0,0,0,0,0,0,0,0,0",68.9612,68.5833,67.3029,63.5518,49.3516,41.9216,23.2854,25.8051,10.4596,-2.54265,"0,0,0,0,0,0,0,0,0,0",67.6109,65.7321,67.066,64.1514,56.2661,34.3599,31.02,12.6695,15.0243,15.8305
531,17503719,2890595,COC1=CC=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)[N+](=O)[O-])S(=O)(=O)C3=CC=CC=C3,Active,57,,,=,3.48,0.382,0.805,"0,0,0,0,0,0,0,0,0,0",94.9142,88.6257,80.9259,67.5951,56.4761,31.0741,30.9477,14.5797,12.5475,14.6611,"0,0,0,0,0,0,0,0,0,0",95.0283,89.6957,82.9963,70.6468,60.1867,49.2361,21.1069,27.3765,30.1312,-0.610925
532,17514057,1961675,CC1=C(C(=NN1CCCC(=O)N(CC2=CC=CC=C2)CC3=CC=CC=C3)[N+](=O)[O-])Cl,Active,55,,,=,11,0.588,1.213,"0,0,0,0,0,0,0,0,0,0",90.0648,81.3519,64.5913,50.8145,31.0325,16.8642,2.82136,-1.11383,-8.03347,-1.58173,"0,0,0,0,0,0,0,0,0,0",91.0506,80.8068,66.9818,48.6132,27.5258,13.3311,6.91238,-4.10818,-3.75331,-6.23376
533,17507355,1048752,COC1=C(C=C(C=C1)C2(CCCCC2)CNC(=O)C3=CC(=CC=C3)[N+](=O)[O-])OC,Active,56,,,=,10.2,0.66,0.98,"0,0,0,0,0,0,0,0,0,0",90.198,76.5331,61.5469,52.8236,28.424,21.0041,7.93444,5.29479,2.48644,1.59253,"0,0,0,0,0,0,0,0,0,0",91.7984,82.6284,67.5329,43.705,37.5499,26.0339,7.61129,10.5403,0.635262,12.3912
534,22413088,9671389,C/C=C/C=N/NC(=O)CN(C1=CC=C(C=C1)Br)S(=O)(=O)C2=CC=CC=C2,Active,56,,,=,10.1,0.764,0.945,"0,0,0,0,0,0,0,0,0,0",86.7053,79.8162,62.5566,44.851,39.1857,13.2793,7.9654,12.9848,-0.871622,1.45133,"0,0,0,0,0,0,0,0,0,0",87.2034,76.6303,68.7025,54.2727,32.0528,26.9797,18.5477,1.12738,5.63782,-8.4244
535,17512939,5609660,COC1=C(C=C(C=C1)/C=N\NC(=O)CNC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)[N+](=O)[O-],Active,54,,,=,12.3,1.45,0.765,"0,0,0,0,0,0,0,0,0,0",78.74,70.714,58.8047,44.9236,28.9442,13.8698,9.99054,6.79021,14.1995,15.463,"0,0,0,0,0,0,0,0,0,0",82.8936,70.7965,62.514,51.7209,37.3378,25.5492,0.247604,18.8662,10.048,13.2269
536,17510691,12005313,CCCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4N3)[N+](=O)[O-],Active,60,,,=,1.34,0.169,0.828,"0,0,0,0,0,0,0,0,0,0",82.4419,83.8702,86.2829,84.3702,76.8102,68.8232,55.0492,38.0266,24.3896,8.48507,"0,0,0,0,0,0,0,0,0,0",83.8452,84.5036,83.828,87.2604,76.4546,70.1714,52.8536,27.7096,9.30042,12.0662
537,17516266,2391853,COC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)COC(=O)/C=C/C2=CC=CO2,Active,50,,,=,8.49,1.74,0.498,"0,0,0,0,0,0,0,0,0,0",66.1336,60.7027,57.4985,59.7437,60.2076,43.0241,29.5168,13.5436,6.23949,1.17596,"0,0,0,0,0,0,0,0,0,0",65.066,62.3035,57.5374,58.8156,55.2878,44.6445,25.9733,20.2266,4.55413,3.28739
538,17509368,3574137,COC1=CC=C(C=C1)C(=O)NN2C(=O)C3=CC=CC=C3N=C2SCC4=CC(=CC=C4)[N+](=O)[O-],Active,54,,,=,14.3,1.75,0.837,"0,0,0,0,0,0,0,0,0,0",80.2731,76.045,57.5711,45.9288,32.3244,30.2455,0.829577,3.66188,14.7945,18.7303,"0,0,0,0,0,0,0,0,0,0",77.5678,74.2733,51.1732,34.242,33.5592,8.22524,14.1653,3.73696,1.41104,-1.26848
539,22416620,2966040,C1=CC=C(C(=C1)C(C2=CC(=C3C=CC=NC3=C2O)Cl)NC4=CC=CC=N4)OCC(=O)O,Active,54,,,=,14.3,0.47,1.282,"0,0,0,0,0,0,0,0,0,0",88.2046,79.6351,64.942,35.5947,16.7317,12.9939,3.37911,6.69084,1.1904,1.45707,"0,0,0,0,0,0,0,0,0,0",87.9308,77.7771,63.0085,38.4058,19.9596,10.6028,4.58411,0.868947,4.91903,-0.982326
540,22404310,2916903,CC1=CC2=C(C=C1C)NC(=O)CC2C3=CC(=CC=C3)[N+](=O)[O-],Active,55,,,=,7.33,0.857,0.759,"0,0,0,0,0,0,0,0,0,0",74.734,82.3712,73.0393,61.1257,45.3213,27.4751,22.0547,5.9489,9.83471,25.2261,"0,0,0,0,0,0,0,0,0,0",77.7178,76.0761,74.7233,57.3509,40.7895,28.464,14.2629,12.6042,5.19873,2.63378
541,14737610,4086584,CC1=C(C=C(C=C1)NC(=O)CCNS(=O)(=O)C2=C(N=CC(=C2)Br)N)Cl,Active,53,,,=,16.1,3.78,0.734,"0,0,0,0,0,0,0,0,0,0",53.0901,49.395,70.9937,54.1045,32.1313,17.8702,2.44003,1.93623,-4.81699,-13.0602,"0,0,0,0,0,0,0,0,0,0",55.9616,72.8875,72.2962,51.744,34.8216,13.207,7.87439,4.68543,-0.0837,-8.18298
542,24809100,16192946,CC(=O)NNC1=NC(=CS1)C2=CC=CC=C2.Br,Active,54,,,=,18.2,0.656,1.057,"0,0,0,0,0,0,0,0,0,0",83.7789,71.322,52.524,31.4223,20.2592,15.656,9.12878,6.34395,1.7505,5.13066,"0,0,0,0,0,0,0,0,0,0",84.897,71.8049,48.9833,34.0381,18.5729,11.8604,5.89706,1.94345,3.28748,0.505653
543,24835841,135519967,C1CN(CCN1CC2=NC3=C(C=C(C=C3Br)Br)C(=O)N2)S(=O)(=O)C4=CC=CS4,Active,55,,,=,9.03,1.26,0.82,"0,0,0,0,0,0,0,0,0,0",90.2019,81.5969,60.4879,57.863,34.1271,31.8189,6.20327,24.915,4.529,20.4897,"0,0,0,0,0,0,0,0,0,0",90.9154,81.6251,61.024,41.9509,46.0176,12.1301,24.3386,3.9486,7.13934,8.36159
544,24836865,4537341,CC(C)(C)C1=CC(=C(C(=C1)Br)O)N=NC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3,Active,58,,,=,2.66,0.238,0.798,"0,0,0,0,0,0,0,0,0,0",91.1055,89.8342,79.1546,71.9884,64.8769,55.1254,27.6351,20.6994,20.2805,-0.96313,"0,0,0,0,0,0,0,0,0,0",93.3851,87.1608,83.0832,71.4884,67.5781,52.2613,41.1721,13.6647,16.7714,17.5634
545,24796126,977974,CCOC(=O)C1CCN(CC1)C(=O)COC2=CC=C(C=C2)[N+](=O)[O-],Active,56,,,=,9.05,0.262,0.92,"0,0,0,0,0,0,0,0,0,0",88.3221,79.202,68.6945,51.5589,37.7289,22.3154,14.3271,5.5638,4.89814,2.13846,"0,0,0,0,0,0,0,0,0,0",86.9543,79.4596,66.6762,54.7864,34.618,25.2818,10.5225,12.008,2.68233,4.97954
546,24793733,2944638,CC(C1=CC=C(C=C1)[N+](=O)[O-])C(=O)NCCC2=CCCCC2,Active,57,,,=,5.99,0.568,1.029,"0,0,0,0,0,0,0,0,0,0",90.7046,86.4273,78.6778,64.0099,49.3303,26.9424,22.7602,0.437557,2.6292,-16.1402,"0,0,0,0,0,0,0,0,0,0",86.3329,85.1129,81.279,64.9857,44.3336,22.0938,14.6415,15.0195,13.7336,10.1062
547,26669360,7377724,CC(C)COC1=CC=C(C=C1)C(=O)N/C(=C\C2=CC(=CC=C2)[N+](=O)[O-])/C(=O)O,Active,56,,,=,9.1,0.353,0.928,"0,0,0,0,0,0,0,0,0,0",86.353,78.6875,69.1132,50.2526,36.1155,19.1966,17.9563,11.6305,0.706895,2.8276,"0,0,0,0,0,0,0,0,0,0",86.8398,80.372,69.4934,54.3071,34.9904,25.0822,13.1172,6.05813,4.5005,-2.73757
548,49679650,20859223,CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N(C)C)C(=O)NCC3=CC=C(C=C3)Cl,Active,52,,,=,8.74,0.33,1.655,"0,0,0,0,0,0,0,0,0,0",96.5959,91.5604,78.5598,57.8063,28.4802,13.7903,0.0923,-0.0646,-5.08642,-9.06109,"0,0,0,0,0,0,0,0,0,0",96.2472,90.8254,80.0307,55.2097,28.7662,9.59279,3.73518,-2.52681,-2.2458,-5.33209
549,47201999,2872440,C1=CC2=NC(=O)C(=C2C=C1[N+](=O)[O-])C3=C(NC(=O)S3)O,Active,53,,,=,9.24,1.32,0.651,"0,0,0,0,0,0,0,0,0,0",86.9685,72.4065,58.5564,56.5047,28.2138,24.4499,11.943,23.3207,8.7047,22.033,"0,0,0,0,0,0,0,0,0,0",82.7667,81.0312,67.2621,42.251,37.8552,25.3703,25.7493,20.3998,18.8101,12.6214
550,49641868,3091108,CCC(CC)COC(=O)C1=C(NC(=O)NC1C2=CC=C(C=C2)[N+](=O)[O-])C,Active,57,,,=,5.94,0.628,0.897,"0,0,0,0,0,0,0,0,0,0",77.4274,79.3741,77.4359,66.7715,46.1473,33.2204,16.5672,8.07848,-0.809583,-7.51603,"0,0,0,0,0,0,0,0,0,0",80.2854,78.6478,74.6016,68.312,53.364,33.0936,24.2486,4.56925,-0.859644,0.228616
551,49823247,4899702,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)COC3=CC4=C(C=C3)C=CC(=O)O4)C,Active,58,,,=,5.23,0.196,1.023,"0,0,0,0,0,0,0,0,0,0",93.9508,89.0773,80.65,65.2263,48.8667,32.3062,21.0868,10.5968,10.0014,1.47397,"0,0,0,0,0,0,0,0,0,0",93.8542,88.241,77.8309,66.8759,47.7481,35.3757,18.0344,6.38523,0.776151,-3.62902
552,49731808,16453202,CCOC1=CC=CC=C1NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,57,,,=,7.5,0.325,1.005,"0,0,0,0,0,0,0,0,0,0",89.4543,83.6294,72.7413,56.1475,40.5735,26.5373,18.1291,4.69194,2.17437,-2.78564,"0,0,0,0,0,0,0,0,0,0",89.1931,85.3608,71.4255,58.3798,39.612,29.0741,12.613,4.06801,-1.0323,-3.89033
553,49735064,16012863,CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=NC(=NC=C3Cl)S(=O)(=O)C,Active,55,,,=,3.48,0.633,0.648,"0,0,0,0,0,0,0,0,0,0",93.8451,91.9985,81.4503,69.3933,49.9903,43.7932,29.6872,45.8356,20.9579,22.1598,"0,0,0,0,0,0,0,0,0,0",91.9491,85.7726,81.4097,56.7787,47.833,28.4745,39.3777,11.3018,32.0508,2.42937
554,49828160,24819919,CC(C)(C)C1=CC=C(C=C1)CN(C)C(=O)CC2=CC(=C(C=C2)OC)S(=O)(=O)N3CCOCC3,Active,59,,,=,2.02,0.069,0.845,"0,0,0,0,0,0,0,0,0,0",94.7368,90.7715,86.1155,79.7124,69.7506,54.8843,43.0958,27.2905,15.7404,8.10561,"0,0,0,0,0,0,0,0,0,0",93.1338,90.2495,84.6007,79.8456,68.1326,57.7449,38.4468,29.0944,14.6324,6.23681
555,49718726,24790398,CC(C)(C)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]3(C(=O)N(C(=O)N3[C@@H]2C4=CC=C(C=C4)Br)C5=CC=C(C=C5)Br)CC6=CC=CC=C6,Active,56,,,=,10.5,1.19,1.04,"0,0,0,0,0,0,0,0,0,0",74.1168,90.1756,73.2151,54.1405,26.8605,21.7711,14.3361,-4.6659,-4.03518,-1.30805,"0,0,0,0,0,0,0,0,0,0",72.9306,88.9882,64.0141,43.3254,30.6419,16.8205,10.913,4.23978,-1.55591,12.8076
556,49713851,24789278,C[C@@H](C(=O)OCC1=CC=CC=C1)NC(=O)C2=C(NC=N2)C(=O)N[C@@H](CCCCNC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,Active,64,,,=,0.176,0.012,0.82,"0,0,0,0,0,0,0,0,0,0",100.46,99.1308,99.7111,96.2908,95.026,87.9738,84.1383,69.9908,67.4634,43.4532,"0,0,0,0,0,0,0,0,0,0",99.7964,98.2361,98.1604,96.7117,93.0553,91.6226,81.5098,76.8185,57.2129,51.1385
557,50085933,24856231,COC(=O)N1C(=O)[C@@](N1C(=O)OC)(C2CCCCC2)C3=CC=CC=C3,Active,60,,,=,0.968,0.041,1.324,"0,0,0,0,0,0,0,0,0,0",98.4296,96.6367,95.4585,92.3157,90.5414,80.3335,54.3931,36.6588,10.2424,9.01845,"0,0,0,0,0,0,0,0,0,0",98.2472,96.087,95.2802,94.2195,89.7772,80.9959,60.6807,34.085,25.1633,9.46755
558,50085936,24856234,CC(C)[C@]1(C(=O)N(N1C(=O)OC)C(=O)OC)C2=CC=C(C=C2)OC,Active,59,,,=,2.06,0.246,0.878,"0,0,0,0,0,0,0,0,0,0",97.3956,95.7571,93.2131,86.8841,70.7406,51.2743,33.4324,32.0788,8.20821,30.9931,"0,0,0,0,0,0,0,0,0,0",96.0485,95.2407,90.9549,79.821,66.656,42.7034,41.4709,21.0568,27.7896,2.44172
559,26658898,4254738,C1=CC=C(C=C1)NC(=S)NC(CO)C(C2=CC=C(C=C2)[N+](=O)[O-])O,Inactive,41,,,=,24.8,1.46,0.821,"0,0,0,0,0,0,0,0,0,0",69.5434,59.7489,41.8258,33.5407,22.6889,18.8896,11.6857,4.08929,-3.71411,-0.144117,"0,0,0,0,0,0,0,0,0,0",73.8415,60.3142,47.1404,31.9369,24.1787,8.21662,6.30043,-0.556285,-0.800189,2.24087
560,57261324,16306989,C1COCCN1S(=O)(=O)C2=CN=C(C=C2)SCC3=CC=C(C=C3)[N+](=O)[O-],Active,53,,,=,4.09,0.494,0.598,"0,0,0,0,0,0,0,0,0,0",90.7691,85.0915,73.1675,63.8869,44.0832,41.329,29.2816,14.8926,29.4003,8.1266,"0,0,0,0,0,0,0,0,0,0",88.0319,86.2001,69.9877,62.9919,45.2766,43.4939,31.5358,29.9112,24.6455,22.8592
561,46501092,23641002,CC(C)(C)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]3(C(=O)N(C(=O)N3[C@@H]2C4=CC=C(C=C4)Br)C5=CC(=CC=C5)F)CC6=CC=CC=C6,Active,54,,,=,10.8,1.57,0.793,"0,0,0,0,0,0,0,0,0,0",89.7894,82.4633,57.4337,42.6921,19.2411,27.5957,6.88902,20.8584,11.6849,3.49534,"0,0,0,0,0,0,0,0,0,0",88.9712,79.4507,65.6725,39.5055,29.9738,23.746,30.7038,14.055,11.9263,17.228
562,57255885,4857553,CC1=C(C(=CC=C1)NC(=O)CNC(=O)COC(=O)C2=CC=C(C=C2)C(C)(C)C)C,Inactive,41,,,=,20.7,7.46,0.352,"0,0,0,0,0,0,0,0,0,0",49.6594,59.2098,62.9761,56.5858,46.6799,32.5166,20.7825,23.9877,4.01004,21.1603,"0,0,0,0,0,0,0,0,0,0",40.7678,45.3716,64.8548,53.79,36.3073,30.9755,26.6069,16.0913,18.062,6.42798
563,57258670,16796579,CC(C(=O)NC1=C(C=CC(=C1)[N+](=O)[O-])OC)OC(=O)CC2CCCC2,Active,58,,,=,5.28,0.336,1.054,"0,0,0,0,0,0,0,0,0,0",96.8587,89.1591,79.1397,62.4213,44.6219,29.4976,13.1785,4.90438,5.73299,5.94166,"0,0,0,0,0,0,0,0,0,0",96.5934,91.3282,77.8848,72.1269,51.9766,28.5558,25.8757,19.7832,-0.248583,-0.47389
564,57263570,2467310,CC1=CC=C(S1)C(=O)NCC(=O)OCC2=NN=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],Active,55,,,=,12.7,0.766,0.933,"0,0,0,0,0,0,0,0,0,0",79.5719,73.4742,61.0114,48.2063,30.825,19.1528,5.32189,6.64591,-2.37929,0.678278,"0,0,0,0,0,0,0,0,0,0",80.9292,72.1122,61.6796,47.8309,32.1272,15.7546,9.72272,-0.0272,0.111466,-7.88645
565,85146146,12135546,CN(C)S(=O)(=O)C1=CC2=C(CCC3=C(C2=O)C=C(C=C3)S(=O)(=O)N(C)C)C=C1,Active,65,,,=,0.166,0.024,0.867,"0,0,0,0,0,0,0,0,0,0",90.9906,90.6547,90.2465,92.0766,94.2779,90.6787,87.5957,82.3274,66.3993,45.0615,"0,0,0,0,0,0,0,0,0,0",90.7014,93.0472,91.4407,92.3558,92.9126,90.1046,89.3363,77.9008,63.2145,44.0322
566,56436654,11852,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O,Active,56,,,=,6.52,0.477,0.837,"0,0,0,0,0,0,0,0,0,0",87.1484,80.9983,70.441,54.2351,40.8188,32.3546,23.3117,15.0647,3.21516,0.0949,"0,0,0,0,0,0,0,0,0,0",89.5148,85.5408,75.5088,64.6518,35.1427,35.9526,24.0034,14.1551,8.67611,-5.38613
567,85200707,44201829,C=CCC[C@@H](CC1=CC=C(C=C1)F)C(=O)OC[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC=C)CC(=O)NCCO,Active,54,,,=,6.03,0.896,0.698,"0,0,0,0,0,0,0,0,0,0",95.0252,89.8117,72.9349,53.604,37.9696,24.4529,25.1395,22.8855,19.9779,23.7803,"0,0,0,0,0,0,0,0,0,0",91.7521,85.3322,72.3514,53.746,33.3762,31.9579,26.5721,29.3344,14.1828,8.4331
568,85199279,5005832,CC(C(=O)NC1=C(C=CC(=C1)[N+](=O)[O-])OC)NNC(=O)C2=CC(=CC=C2)[N+](=O)[O-],Active,56,,,=,10.7,0.906,1.003,"0,0,0,0,0,0,0,0,0,0",90.0912,83.8242,66.9017,42.6773,34.3976,10.9373,12.7443,-5.48367,7.14877,-0.329609,"0,0,0,0,0,0,0,0,0,0",88.5516,75.3251,64.5286,51.1133,27.8664,24.7439,8.88814,17.5194,6.86142,10.8963
569,85200090,4847200,C1CCCC2(CC1)C(=O)N(C(=O)N2)CC(=O)NC3=CC(=C(C=C3)Cl)[N+](=O)[O-],Active,54,,,=,5.92,0.843,0.686,"0,0,0,0,0,0,0,0,0,0",84.9255,85.7376,70.6418,62.3255,36.2337,39.997,17.7646,9.50591,21.0535,1.38305,"0,0,0,0,0,0,0,0,0,0",84.6841,79.8667,77.5603,54.0306,39.814,28.2081,40.2742,30.162,6.23979,17.1651
570,85271088,4331928,CC(=NNC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)NC2=CC=CC=C2C(=O)O)C3=C(C=C(C=C3)OC)OC,Active,56,,,=,9.07,0.914,1.05,"0,0,0,0,0,0,0,0,0,0",95.947,84.5876,68.7933,44.5205,28.3058,12.9138,6.65475,2.44449,-0.208922,-5.49021,"0,0,0,0,0,0,0,0,0,0",95.4406,86.0493,69.5253,51.1873,40.9855,26.912,26.3627,8.03606,11.292,15.6851
571,87342361,44601794,COC1=CC2=C(C=C1)NC3=C2CCN4[C@]3([C@H](CC(C4=O)CC(=O)NCC5=CC(=CC=C5)C(F)(F)F)C(=O)N6CCOCC6)CCC7CCCC7,Active,54,,,=,9.16,1.42,0.727,"0,0,0,0,0,0,0,0,0,0",90.7428,83.3581,60.4969,44.6277,31.6535,27.8804,22.3211,7.94493,19.1903,3.54324,"0,0,0,0,0,0,0,0,0,0",88.2441,80.1821,62.7363,47.1512,34.7988,21.6266,26.6953,7.87665,17.6835,30.7857
572,87349269,44602130,C1CCC(C1)CC[C@@]23[C@H](C[C@@H](C(=O)N2CCC4=C3NC5=C4C=CC(=C5)C6=CC=CO6)CC(=O)NCCN7CCOCC7)C(=O)N8CCOCC8,Active,58,,,=,3.76,0.272,0.867,"0,0,0,0,0,0,0,0,0,0",96.3459,91.7652,82.6025,67.7972,50.1273,43.5245,36.5967,17.677,10.2139,6.73092,"0,0,0,0,0,0,0,0,0,0",96.3172,94.1889,83.9171,73.0974,47.5165,37.3529,22.923,21.0649,11.7812,13.5159
