PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
270,103076100,49790932,C1=CC2=NC=CN2C(=C1)C3=COC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",36.5623,22.9701,15.9021,7.20304,10.4652,>,66,,,"0,0,0,0,0",47.3848,29.335,19.0208,10.5632,4.2715,>,66,,,"0,0,0,0,0,0,0,0,0,0",96.1681,70.9325,48.0693,40.5202,21.7552,27.1474,14.3139,22.2944,23.0493,9.46088
271,49665356,3138342,C1=CC=C(C(=C1)C(=O)NNC(=S)NC(=O)C2=CC=C(C=C2)[N+](=O)[O-])O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.11566,5.46323,2.85351,7.85547,6.11566,>,66,,,"0,0,0,0,0",4.47778,2.41495,3.85894,-1.4013,-3.46413,,,,,,,,,,,,,,,
272,17412632,2856523,CC1=CC=C(C=C1)NC2=C(C=CC3=NC4(CCCCC4)N=C32)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.408631,-3.4533,1.1137,-1.27854,1.98361,>,66,,,"0,0,0,0,0",-4.49555,1.79611,-0.266731,-3.87669,-5.32069,,,,,,,,,,,,,,,
273,57257646,25161816,CC1=CSC(=O)N1CCC(=O)OCC(=O)NNC(=O)C2=CC=C(C=C2)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-9.65137,-0.952322,2.63603,-0.843585,0.243796,>,66,,,"0,0,0,0,0",-11.8186,-4.80498,0.455259,-8.93065,-0.266731,,,,,,,,,,,,,,,
274,24806295,811319,CC(C)(C)C1=NN=C(S1)NC(=S)NC2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.2477,2.41856,-2.14844,1.98361,5.35449,>,66,,,"0,0,0,0,0",-2.02014,-4.18612,-14.6035,-5.8364,-1.09187,,,,,,,,,,,,,,,
275,17413723,2224675,CCCCC(=O)NC(=S)NC1=CC=CC=C1C(=O)NC2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.91954,-3.01835,1.00496,0.678751,3.07099,>,66,,,"0,0,0,0,0",-4.49555,-7.89924,-11.1998,-4.59868,1.17725,,,,,,,,,,,,,,,
276,7973063,800400,CC1=CC=C(C=C1)SC(=O)COC2=CC=CC=C2OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.48459,4.91954,3.83216,8.29042,8.72537,>,66,,,"0,0,0,0,0",5.61235,-0.473011,-3.77356,1.48668,-1.19502,,,,,,,,,,,,,,,
277,17408483,615593,CC1=C(SC(=C1C(=O)C2=CC=CC=C2)NC(=O)CCl)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-8.0203,-5.95427,-0.408631,2.63603,6.22439,>,66,,,"0,0,0,0,0",-15.4286,-14.0877,1.07412,-7.28038,-1.4013,,,,,,,,,,,,,,,
278,22403595,1421594,CC1=C(C=CC(=C1)C(=O)NC(=S)NC2=CC=CC(=C2)NC(=O)C(C)C)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.9642,6.55061,7.0943,9.81276,6.65935,>,66,,,"0,0,0,0,0",4.78721,3.65266,1.2804,5.5092,-1.09187,,,,,,,,,,,,,,,
279,22402059,3654175,C1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)Cl)NC(=O)C4=C(C=C(C=C4)F)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.0397,0.787487,3.83216,3.61468,1.54865,>,66,,,"0,0,0,0,0",-10.8903,-6.24896,-1.50443,7.46891,8.60346,,,,,,,,,,,,,,,
280,22415554,1924791,CC(=O)C1=CC(=CC=C1)NC(=S)NC(=O)C2=CC=CC=C2Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.30982,2.74478,5.35449,2.09234,0.0263,>,66,,,"0,0,0,0,0",-1.71073,3.85894,2.10553,2.62124,-2.74214,,,,,,,,,,,,,,,
281,17409207,817345,CC1=NC(=CC=C1)NC(=S)NC(=O)C2=CC=CS2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.3351,8.72537,9.16032,7.9642,6.87682,>,66,,,"0,0,0,0,0",1.58983,15.9265,6.23121,1.79611,-0.473011,,,,,,,,,,,,,,,
282,17514066,1848903,C1COCCN1CC2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.98556,8.18168,3.28847,6.98556,6.87682,>,66,,,"0,0,0,0,0",2.10553,3.34323,6.64377,6.43749,2.00239,,,,,,,,,,,,,,,
283,17504083,12004462,COC1=C(C=C(C=C1)C(=O)CN2CCN(CC2)S(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-])OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-3.77951,-5.19311,0.678751,2.09234,1.22244,>,66,,,"0,0,0,0,0",-13.6752,-14.6035,-4.80498,0.764687,2.93066,,,,,,,,,,,,,,,
284,24783144,802126,CC(C)OC1=CC=C(C=C1)C(=O)NC2=NCCS2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.90961,-2.25718,6.00692,5.78944,6.65935,>,66,,,"0,0,0,0,0",-6.97095,-7.48666,0.248978,2.72438,4.47778,,,,,,,,,,,,,,,
285,24838049,2140705,CC1=CC=C(C=C1)S(=O)(=O)NC(=S)NC2CCCCC2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.42051,9.81276,5.24575,10.3565,8.50789,>,66,,,"0,0,0,0,0",2.62124,6.9532,6.02491,5.19979,7.26262,,,,,,,,,,,,,,,
286,49675819,4780428,COC1=NC=C(C=C1)NC(=O)C2=CC=CO2,Inactive,41,,,=,34.1,=,25.614,,1,"0,0,0,0,0",101.019,79.1525,52.3356,30.6758,12.626,=,13.541,,1,"0,0,0,0,0",78.1003,56.0265,35.3662,21.0128,16.9895,=,31.302,,0.971,"0,0,0,0,0,0,0,0,0,0",125.953,94.9679,61.0851,22.5212,23.0785,-3.78254,-2.3336,-12.8105,-13.1449,-9.68972
287,49680061,2150401,C1CN(CC2=C1NC(=S)NC2=O)CC3=CC=C(C=C3)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.4811,14.5879,16.8,17.9587,12.2704,>,66,,,"0,0,0,0,0",11.8458,6.8189,9.87875,7.47459,15.5613,,,,,,,,,,,,,,,
288,26725436,16745658,CCCCC1=CC2=CC(=O)C(C(=O)C2=CN1CCCCO)(C)OC(=O)CC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.74478,2.74478,2.30982,0.13506,3.17972,>,66,,,"0,0,0,0,0",8.60346,2.62124,0.970968,-1.81386,-8.72436,,,,,,,,,,,,,,,
289,848529,135417053,CCOC(=O)CNC1=NN=C(NC1=O)SCC(=O)OCC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.0302,6.98556,4.2671,9.48654,7.52925,>,66,,,"0,0,0,0,0",4.58093,2.62124,5.81863,6.12806,5.7155,,,,,,,,,,,,,,,
290,24793038,2209316,C1=CC(=C(C=C1Br)Cl)NC(=S)NN2C=NN=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-5.51933,-4.43195,2.63603,4.15837,7.52925,>,66,,,"0,0,0,0,0",-11.0966,-4.3924,-1.19502,2.00239,0.86782,,,,,,,,,,,,,,,
291,49642548,711673,C1CN(CCN1CCO)C2=C(C(=O)N3C=CC=CC3=N2)C=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",22.7526,10.0302,10.139,8.83411,6.87682,>,66,,,"0,0,0,0,0",39.1334,27.9941,13.9668,8.19089,11.3883,>,66,,,"0,0,0,0,0,0,0,0,0,0",120.972,90.668,64.6774,45.3732,23.6964,64.1382,41.4908,31.5691,19.5983,15.1767
292,24833747,135465126,CCC1=C(C(=CC=C1)CC)NC(=O)CSC2=NN=C(C(=O)N2)CCC(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.17972,4.70206,4.91954,11.0089,5.57197,>,66,,,"0,0,0,0,0",2.31182,7.05633,4.06522,3.0338,0.86782,,,,,,,,,,,,,,,
293,22414233,834412,COC1=CC=C(C=C1)CNC2=CC=C(C=C2)S(=O)(=O)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.02828,1.43991,3.28847,2.63603,3.94089,>,66,,,"0,0,0,0,0",2.00239,4.2715,-0.0605,0.248978,-1.91701,,,,,,,,,,,,,,,
294,99356351,292250,CC1=CSC=C(C1=S)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.81079,4.15837,4.04963,5.35449,4.48459,>,66,,,"0,0,0,0,0",0.14583,2.62124,0.14583,3.24009,3.65266,,,,,,,,,,,,,,,
295,99355998,278092,CSC1=NSC(=N1)NN,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.50594,6.00692,3.94089,6.76809,3.72341,>,66,,,"0,0,0,0,0",2.10553,1.2804,4.99349,6.12806,7.57204,,,,,,,,,,,,,,,
296,26660852,747582,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=S)NC3=CC(=CC=C3)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.77,9.3778,10.2477,9.48654,10.5739,>,66,,,"0,0,0,0,0",5.40607,9.73802,13.6574,1.38353,4.89036,,,,,,,,,,,,,,,
297,49641164,2932816,CC1=C(C=C(C=C1)Cl)N2C(=O)CC(C2=O)SC3=NC=CC=N3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.8549,6.86692,9.0356,5.24041,6.32475,>,66,,,"0,0,0,0,0",4.00093,2.22057,3.37258,2.63947,5.36239,,,,,,,,,,,,,,,
298,103158946,3784894,C1CC(N(C1)C2=C(C=CC(=N2)Cl)[N+](=O)[O-])C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.4091,9.14404,9.14404,3.83076,3.50546,>,66,,,"0,0,0,0,0",27.3552,12.4839,5.36239,5.99076,2.3253,,,,,,,,,,,,,,,
299,859355,660655,CCOC1=CC2=C(C=C1)[N+](=O)C3=C(N2[O-])CCCC3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.77051,4.69824,3.93919,2.31268,0.686168,>,66,,,"0,0,0,0,0",-3.0158,-4.16781,-1.44489,-6.26236,-3.53944,,,,,,,,,,,,,,,
300,7968088,3607474,COC1=CC=C(C=C1)NC(=O)CC2C(=O)N3C(=NC=N3)S2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.54161,6.43318,4.5898,6.32475,6.86692,>,66,,,"0,0,0,0,0",-1.34016,0.75439,-1.8638,7.03804,0.0213,,,,,,,,,,,,,,,
301,26659579,1929240,CNC(=S)SCCOC1=CC=CC=C1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.79464,7.40909,5.45727,2.52955,7.40909,>,66,,,"0,0,0,0,0",-4.37726,-0.502352,3.58203,-1.23544,-1.54963,,,,,,,,,,,,,,,
302,81066768,42628519,C[C@H](CN1CC[C@@H](CCC1=O)C(C)(C)C)CSC2=CC=C(C=C2)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.37293,5.99944,9.46934,6.32475,7.73439,>,66,,,"0,0,0,0,0",1.06856,2.63947,3.05839,6.20022,2.53475,,,,,,,,,,,,,,,
303,4246381,3240735,C1CCN(C1)C2C(=O)NC3=C(S2)C=CC(=C3)C(=O)O,Inactive,41,,,=,55.55,>,66,,,"0,0,0,0,0",29.4212,18.3609,10.5537,8.7103,8.27656,>,66,,,"0,0,0,0,0",40.4461,26.3079,21.1762,8.71367,9.2373,=,24.235,,1.7,"0,0,0,0,0,0,0,0,0,0",55.0793,41.4908,29.1965,16.1473,10.5393,8.92165,8.38243,13.6668,6.33337,10.4315
304,49717550,1329021,CC1=C(C=CC=C1NC(=S)NC(=O)CSC2=CC=C(C=C2)Cl)C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.0115,10.0115,4.5898,6.97535,2.09582,>,66,,,"0,0,0,0,0",-1.34016,4.21038,2.63947,0.230753,-5.63399,,,,,,,,,,,,,,,
305,26665005,3919021,C1=CC(=CC=C1NC(=S)N=C(N)N)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.78258,9.0356,4.69824,6.43318,9.79464,>,66,,,"0,0,0,0,0",7.03804,1.38275,-2.38743,4.52457,2.53475,,,,,,,,,,,,,,,
306,22412549,4056941,C1COCCN1CCCNC(=S)NCCCN2CCOCC2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.0729,1.44521,0.469303,0.686168,5.56571,>,66,,,"0,0,0,0,0",0.75439,2.22057,-1.13071,-4.9009,0.859108,,,,,,,,,,,,,,,
307,850355,652869,C1CCN(CC1)C2=C3C(CCC2)C(C(=C3N)C#N)(C#N)C#N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-12.8003,-13.4324,-23.861,-15.4338,-13.9591,>,66,,,"0,0,0,0,0",-6.95042,-7.82466,-9.46386,-3.67201,-3.78129,,,,,,,,,,,,,,,
308,103075641,881560,C1=CC(=CC(=C1)Cl)C(=O)NC(=S)NC2=CN=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.2645,8.385,2.85485,6.43318,8.60187,>,66,,,"0,0,0,0,0",1.80167,4.31512,5.25766,7.35221,9.97039,,,,,,,,,,,,,,,
309,17413469,898985,CC(C)CNC1=NC(=S)N=C(N1)N(C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.44521,-0.506606,3.83076,1.33678,8.49343,>,66,,,"0,0,0,0,0",5.36239,5.46713,-0.816521,-4.27253,-1.75908,,,,,,,,,,,,,,,
310,24790898,4899288,C1C2C3C(C1C4C2C(=O)N(C4=O)CC(=O)O)SC5=C(C3C6=CC=C(C=C6)F)SC(=O)N5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.13197,6.54161,9.14404,8.16813,8.60187,>,66,,,"0,0,0,0,0",16.1493,11.7508,5.57184,9.44676,3.37258,,,,,,,,,,,,,,,
311,22401500,3459799,C1=CC2=C(NC(=S)N(C2=O)NC(=O)COC3=C(C=C(C=C3)Cl)Cl)N=C1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.879,9.14404,9.0356,12.8308,9.14404,>,66,,,"0,0,0,0,0",5.7813,7.87584,1.5922,7.03804,0.440205,,,,,,,,,,,,,,,
312,49670480,16027762,C1=CC2=C(N=C1)N(C=N2)CC3=CC=C(C=C3)C(=O)O,Inactive,41,,,=,55.8,>,66,,,"0,0,0,0,0",33.108,20.638,14.9995,10.7706,4.5898,>,66,,,"0,0,0,0,0",44.5305,28.8213,16.4635,4.73402,5.7813,>,66,,,"0,0,0,0,0,0,0,0,0,0",72.0109,50.7655,35.6672,24.8827,28.0102,8.27458,13.8825,14.206,11.2942,21.3238
313,22403940,800029,C1CN(CCN1C2=CC=CC=C2)C(=S)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.5537,2.96329,4.5898,8.60187,9.46934,>,66,,,"0,0,0,0,0",12.3791,4.83875,1.90638,4.00093,1.38275,,,,,,,,,,,,,,,
314,24789882,2881463,CCN(CC)CCCN1C(SCC1=O)C2=CC=C(C=C2)[N+](=O)[O-].Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.24041,7.73439,4.15607,-0.398173,2.96329,>,66,,,"0,0,0,0,0",-6.36708,-3.43471,0.335471,-5.00562,-2.28272,,,,,,,,,,,,,,,
315,4260701,898280,CC1=CC=C(O1)C(=O)NC2=C(C3=C(S2)CCCCC3)C(=O)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.092,2.11002,3.38801,2.64252,3.814,>,66,,,"0,0,0,0,0",-13.0857,-6.62191,3.0208,-5.03245,-3.443,,,,,,,,,,,,,,,
316,14743666,2426231,CC1=C(C=CC=C1Cl)NC(=S)NNC2=C(C=C(C=N2)C(F)(F)F)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.05048,5.30499,6.79598,3.9205,2.00352,>,66,,,"0,0,0,0,0",-4.39667,4.29236,0.0538,-3.76089,-0.370039,,,,,,,,,,,,,,,
317,14729951,4263739,COC1=CC=CC=C1C2CC(=NC3=CC=CC=C3S2)C4=CC=CS4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-11.5112,-2.5123,-11.0974,-7.37376,-5.09818,>,66,,,"0,0,0,0,0",4.97248,6.03754,1.35127,1.99031,2.52284,,,,,,,,,,,,,,,
318,843005,767427,CNC1=CC=CC=CC1=S,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",14.7834,8.60646,4.3465,6.79598,0.725534,>,66,,,"0,0,0,0,0",33.2205,17.7498,7.89512,3.55062,0.689599,>,66,,,"0,0,0,0,0,0,0,0,0,0",61.4195,45.4812,29.9888,27.9826,20.9608,14.2734,9.81517,5.35691,4.24234,9.48079
319,49645185,685919,C1=CC=C2C(=C1)C3=NNC(=S)N=C3N2CC(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.73099,1.89703,4.87899,1.36453,6.26348,>,66,,,"0,0,0,0,0",-2.06547,-5.56227,-0.899858,-8.95311,1.74924,,,,,,,,,,,,,,,
320,14738876,4386676,C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N=C(S3)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.56495,6.90247,5.41149,7.11547,6.05048,>,66,,,"0,0,0,0,0",-7.89347,-1.21775,-4.50264,-0.581979,-1.85354,,,,,,,,,,,,,,,
321,24836107,135519977,C1=CC=C(C=C1)C2=CN(C(=S)N2)/N=C/C3=CC=C(C=C3)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.64252,-0.445953,-6.30339,-1.29794,-5.5579,>,66,,,"0,0,0,0,0",-7.04576,-8.31732,-7.7875,-13.8275,-8.63522,,,,,,,,,,,,,,,
322,24817212,2768758,CCCNC(=O)C1=C(SN=N1)S(=O)C2=CC=C(C=C2)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.938536,7.75447,6.05048,7.11547,7.96746,>,66,,,"0,0,0,0,0",-10.7545,-0.899858,-2.91318,-3.23107,-5.56227,,,,,,,,,,,,,,,
323,56318679,16281348,C1CCC2(CC1)C(=O)N(C(=O)N2)CC(=O)OC3=CC4=C(C=C3)C(=CC(=O)O4)C(F)(F)F,Inactive,41,,,=,38.3,>,66,,,"0,0,0,0,0",26.2853,16.9134,15.5289,12.6534,8.92596,>,66,,,"0,0,0,0,0",34.1741,26.0149,11.286,0.583629,-4.50264,=,22.911,,1.338,"0,0,0,0,0,0,0,0,0,0",87.6118,66.4351,48.7135,28.3169,18.7317,9.25788,8.92351,8.81205,9.59224,11.8214
324,26727100,2731237,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2N3C(=O)C=CC3=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.32847,6.26348,5.83749,6.79598,7.54147,>,66,,,"0,0,0,0,0",-4.39667,-6.19805,-4.50264,-9.5889,-3.97282,,,,,,,,,,,,,,,
325,3711794,135415400,CC1=CC(=O)NC(=N1)SCN2C(=O)C3=CC=CC=C3N=N2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.69314,8.34882,7.9117,9.5509,3.43121,>,66,,,"0,0,0,0,0",13.9559,18.0641,9.84763,7.53017,-2.37174,,,,,,,,,,,,,,,
326,24837955,94986,CCN(CC)CC1=CC(=C(C=C1O)CN(CC)CC)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.08378,11.0959,4.9151,-2.45842,1.55364,>,66,,,"0,0,0,0,0",13.95,11.2271,-2.49217,1.06856,-6.786,,,,,,,,,,,,,,,
327,22402297,849918,COC1=NN=C(S1)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.10788,9.79464,7.08378,4.48136,7.95126,>,66,,,"0,0,0,0,0",6.5144,10.8082,4.94349,6.5144,8.50422,,,,,,,,,,,,,,,
328,24797386,805039,C1=CC=C(C=C1)CN=CC2=C(C3=CC=CC=C3S2)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.46934,9.46934,5.99944,8.7103,8.27656,>,66,,,"0,0,0,0,0",3.47729,10.0751,6.40967,3.47729,10.494,,,,,,,,,,,,,,,
329,24807284,3157647,COCCNC(=O)NC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4,Inactive,41,,,=,39.2,>,66,,,"0,0,0,0,0",47.096,35.0598,21.7224,9.0356,8.05969,=,47.538,,1,"0,0,0,0,0",57.8308,42.017,24.4228,11.4366,14.7879,=,28.211,,1.117,"0,0,0,0,0,0,0,0,0,0",77.511,62.7362,45.1575,33.1868,33.0789,16.4708,13.8825,13.559,21.1081,21.216
330,49641960,2931560,CC(C)C1=CC=C(C=C1)N2C(=O)CC(C2=O)SC3=NC=CC=N3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.34884,5.45727,4.5898,1.44521,3.61389,>,66,,,"0,0,0,0,0",2.95366,1.5922,7.98058,-0.292884,0.230753,,,,,,,,,,,,,,,
331,17414171,2949983,CCC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.40909,7.08378,8.05969,8.27656,6.75849,>,66,,,"0,0,0,0,0",11.9602,8.08531,3.47729,9.55149,4.94349,,,,,,,,,,,,,,,
332,93576730,6697,C1=CC=C2C(=C1)C3=CC=CC4=C3C(=CC=C4)C2=O,Inactive,41,,,=,34.05,>,66,,,"0,0,0,0,0",38.6381,35.2767,20.5296,15.5417,17.1682,=,40.916,,1,"0,0,0,0,0",51.1283,48.4054,34.2672,18.0344,12.3791,=,12.038,,1.029,"0,0,0,0,0,0,1,0,0,0",73.1972,67.1579,49.7948,51.7361,17.1179,34.4809,,11.5099,14.0982,16.6865
333,24816785,4549486,CC1=CC2=C(N1)C=CC(=C2)CNC(=O)C3=CC(=CC=C3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.74642,1.55364,5.02353,-1.15721,7.95126,>,66,,,"0,0,0,0,0",-3.22526,-2.91107,-1.23544,-0.921255,1.06856,,,,,,,,,,,,,,,
334,93577218,272582,C1CN2C(=C(C3=CC=CC=C3C2=O)O)C1=O,Inactive,41,,,=,43.58,>,66,,,"0,0,0,0,0",29.1608,18.9369,13.9314,10.0974,7.32847,>,66,,,"0,0,0,0,0",42.6512,21.3525,11.4979,0.901523,10.2263,=,20.957,,1.331,"0,0,0,0,0,0,0,0,0,0",102.101,79.4755,57.2956,41.8032,16.7255,15.1651,12.3787,18.1744,8.36623,13.7161
335,17413625,1179914,CN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=CS3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.7725,7.00897,10.0974,6.90247,5.19849,>,66,,,"0,0,0,0,0",-2.27739,-1.42968,-2.70126,-3.01913,1.96116,,,,,,,,,,,,,,,
336,844976,647316,CCOC1=CC=CC=C1C2C(C(=O)NC(=C2C#N)SCC=C)C#N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.11547,5.30499,7.64796,9.88445,7.96746,>,66,,,"0,0,0,0,0",-9.69486,-6.51594,1.00748,-3.23107,-5.03245,,,,,,,,,,,,,,,
337,49676665,18558743,C1=CC=C(C=C1)C2=C([N+]3=C(S2)C=CC4=CC=CC=C43)N.C1=CC=C(C=C1)S(=O)(=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-1.83043,3.49451,4.453,4.453,3.49451,>,66,,,"0,0,0,0,0",-10.0128,-10.9664,-4.39667,-5.35035,-2.70126,,,,,,,,,,,,,,,
338,24816915,4278748,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC=C(C=C3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.938536,-0.978447,-2.46943,0.725534,-2.46943,>,66,,,"0,0,0,0,0",4.61026,-1.1118,-10.0128,1.11345,-1.85354,,,,,,,,,,,,,,,
339,857091,658451,CC1(CC2=C(C(=O)NC(=C2CS1)C3=CC=CO3)C#N)C,Inactive,41,,,=,25.97,>,66,,,"0,0,0,0,0",19.3628,10.7364,7.00897,0.938536,-3.32142,=,14.554,,1,"0,0,0,0,0",103.686,74.0165,48.7972,30.4654,11.6039,=,11.309,,1.25,"0,0,0,0,0,0,0,0,0,0",134.981,116.702,94.4106,65.209,39.574,23.6358,10.8183,12.9359,9.48079,10.3725
340,47201469,3095028,CCOC1=CC(=C(C=C1)NC(=S)NC(=O)C2=CN=CC=C2)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.092,8.18046,4.453,10.2039,6.79598,>,66,,,"0,0,0,0,0",2.80888,-0.899858,-3.76089,1.96116,0.477658,,,,,,,,,,,,,,,
341,87349529,44602201,C[C@@]1([C@@H]2[C@H]([C@@H]3N1C(=NC3)SCC(=O)C4=CC=CC=C4)C(=O)N(C2=O)CC5=CC=CC=C5)C(=O)OC.C(=O)(C(F)(F)F)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.24,6.90247,8.18046,10.4169,7.75447,>,66,,,"0,0,0,0,0",-2.27739,-8.52926,-3.1251,1.43134,1.32537,,,,,,,,,,,,,,,
342,87349553,44602249,CC[C@@]1([C@@H]2[C@H]([C@@H]3N1C(=NC3)SCC(=O)C4=CC=CC=C4)C(=O)N(C2=O)CC5=CC=CC=C5)C(=O)OC.C(=O)(C(F)(F)F)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.90247,9.67144,11.3754,7.86097,5.73099,>,66,,,"0,0,0,0,0",0.689599,-6.30402,-5.35035,-2.48931,-0.581979,,,,,,,,,,,,,,,
